Stripped Cell Line Name,Known Pairs
NCIH969,
NW145,
OCILY17,
PANC0504,
CMK,CMK115; CMK86
HCC2218,
1321N1,U118MG; U138MG
BCPAP,
PEDS172T,
CHLA218,
CHP134,
CMK115,CMK86
COLO205,COLO201; COLO206; COLO206F
COLO775,COLO677; RPMI8226
COLO794,COLO800; COLO818; COLO829
COLO818,COLO800; COLO829; COLO794
DM3,
EB2,EB1
FTC238,FTC133
GLC82,
HCC2157,
HCC2373,
HCT8,
HLC1,HMC18
HLE,HLF
HLFA,
HN,
HS274T,
HS604T,
HS751T,
HS840T,
HUT102,
KCIMOH1,HPAC
KP1N,KP1NL; PANC1
LC1,
M059J,M059K
MEC2,MEC1
MED311FHTC,
MESSA,MESSADX5
MOGGUVW,
MOLT13,
NALM19,
NCIH2141,
OC316,OC314; OC316
PCM6,
PEDS017,
PEDS019TBT,
PEDS030T,
PEDS056,
PEO4,PEO1; PEO6
PEO6,PEO1; PEO4
PL45,PANC1005
RPMI6666,
SF10067,
SF10074,
SF10767,
SF8657,
SKLMS1,
SKMEL19SKINCJ2,SKMEL19SKINCJ1; SKMEL19
SLR21,
SLR25,
SNU1197,
SUPHD1,
SW1116,
TK10,
UBLC1,
VMRCLCD,
VMRCLCP,
YMB1,ZR751
BECKER,
CGTHW1,SW579
A172,
GRM,PSN1
HCC364,
HTK,HOS; 143B
IOMMLEE,
JHESOAD1,
KLM1,PK1
LN215,
LN229,
MOGGCCM,
NCIH1435,
NCIH650,
NCIH684,
SNU61,
SNUC5,
U138MG,U118MG; 1321N1
UT7,
SNU520,
HCC2108,
1156QE8,
1411H,
21MT1,
21MT2,
21NT,
21PT,
451LU,
577MF,
833KE,
A129L,
ATN1,
BICR10,
CA922,
CCLFNEURO0003T,
CCLFNEURO0013T,
CCLFNEURO0021T,
CCLFNEURO0023T,
CCLFNEURO0026T,
CCLFNEURO0027T,
CCLFNEURO0031T,
CCLFNEURO0032T,
CCLFNEURO0034T,
CCLFNEURO0035T,
CCLFNEURO0037T,
CCLFPANC0005T,
CCLFPANC0006T,
CCLFPANC0008T,
CCLFPANC0010T,
CCLFPANC0014T,
CCLFPANC0021T,
CCLFPEDS0001T,
CCLFPEDS0017T2,
CCLFPEDS0021T,
CCLFPEDS0022T,
CCLFPEDS0023T,
CCLFPEDS0026T,
CCLFTHYR0008T,
CCLFUPGI0002T1,
CCLFUPGI0002T2,
CCLFUPGI0003T,
CCLFUPGI0004T,
CCLFUPGI0006T,
CCRFHSB2,
ECC4,
FLAM76,
FURPNT1,
FURPNT2,
H111TC,
H16N2,
H314,
HA1E,
HCC2998,
HDMAR2,
HGRT,
HHUA,
HIRSBM,
HKBMM,
HMMME,
HMVII,
HO1U1,
HOKUG,
HOTHC,
HOUAI,
HSKTC,
HSNB,
HSOS1,
HSPSS,
HSQ89,
HSSCH2,
HSSYII,
HTCC3,
HTMM,
HTMMT,
HTST,
ICC14,
ILTMAT,
KMRC3,
KPNNS,
KYAE1,
LAN5,
LCAM1,
LIM1215,
LPS695,
LU134A,
LU138,
LU139,
LU140,
LU141,
LU143,
LU165,
LU24,
MM138,
MMAC,
MS1,
MY,
NB16,
NB69,
NCCOVCK119,
NCCRBC39,
NCIH220,
NCIH295R,
NCIH524,
NCIH711,
NCIH719,
NCIH865,
NOS1,
NOS2,
NZOV9,
OCIAML6,
OCIP5X ,
OIH1,
OMM25,OMM22; OMM23; OMM26; Mel270
P2URK562,
P30OHK,
PEDS005TSUSP,PEDS005TPFAD
PK8,
PMFKO14,
RB247C,
RDPCDNA2,
RMSYM,
SA3,
SAS,
SCCH196,
SCCH26,
SKGIIIA,
SLVL,
SNU1528,
SNU1581,
SNU408,
T3M11,
T3M12,
T3M3,
T3M5,
TERA1,
TGBC18TKB,
TGBC50TKB,
TL1,
TN1,
TN2,
TT,
TT1TKB,
TUHR25TKB,
TUHR3TKB,
TY82,
U937GC13,
U937SMC3H10,
U937SMC3H8,
U937STAG2A2,
U937STAG2E10,
UACC462,
WAHT,
YNH1,
ANGMCSS,
HCC38,
PK59,
STM9101,
MERO14,
TGBC11TKB,
VCAP,
BLUE1,
C10,
C75,
DOTC24510,
EGI1,
,
,
GIMEN,
HMY1,
HSC1,
HUCCT1,
JURLMK1,
KATOIII,
KCL22,
KE97,KMS18
KKU100,
LAN2,
MEL202,
MM127,
MM370,
MM386,
MON,
NB1643,
NMB,
OCIC5X,
PACADD119,
PACADD137,
PACADD165,
RL952,
SF126,
SF539,
SISO,
SKNEP1,
SNU46,
SNU668,
SUDHL10,
SUM149PT,
SUM159PT,
SW1271,
TC71,
TTC442,
TTC642,
UMUC10,
UMUC16,
UMUC6,
UMUC7,
MON,
BL41,
COGH430,
DOGUM,
KP1NL,KP1N; PANC1
MHHCALL2,
MP41,
ONDA10,NO10
SNUC2B,SNUC2A
HAP1,HAP1MLH1KO
HAP1MLH1KO,HAP1
PEDS078,
PEDS117,
PEDS110,
SUM229PE,
C70,
HS704,
HS445,RMZRC2; RMZRC5
HS926T,
CAR1,
RMZ,
CCA,
UCH17S,
UCH7,
WM3211,
WM4235,
M040416,
M140325,
M1610113,
C079,
D10,
MESOV,
IOWA1T,
SUDHL2,
NCIH498,
MAVER1,
HS602,
Z138,NCIH1876; NCIH1881
NCIH1882,
NCIH676B,NCIBL1688
NCIH1688,
NCIH740,E006AA
E006AAHT,
HS257T,HS769BI; HS769MU; MS769UT; HS769VG
HS769T,
NTERA2CLD1,HBL6
BC1,
BC2,KS1
BC3,
EB3,
NCIH920,
CHLA03AA,
UACC3199,
40291,
176592,
SNU2292,
SNU739,
SNU251,
SNU333,
SNU1327,
SNU1684,
SNU267,
SNU1330,
SNU977,
SNU2535,
SNU1411,
SNU482,
SNU1460,
SNU254,
SNU1967,
SNU1235,
SNU228,SNU769A
SNU769B,
SNU1746,
SNU484,
BICR82,
OCIU1A,
OCIP7A,
OCIP2A,
UOCM1,JIM1
JIM3,
OCIC1P,
FCIP2P,
UACC1598,
NJG,
RH6,SW480
SW527,PEA1
PEA2,FTC133; FTC238
FTC236,
MOB,
PSS031,LS513
SNU1958,
SNGII,
LI90,
SR,OCIP9A1
OCIP9A2,
NUTOS,
RMS,
NRS1,
RUCH2,
RUCH3,
MAMEL14,OMM22; OMM23; OMM25; OMM26; MEL270
OMM23,OMM22; MAMEL14; OMM25; OMM26; MEL270
MSDASH1,
PATU8988TKRASKOSG2219,PATU8988T; PATU8988S
PATU8988TKRASKOSG2222,PATU8988T; PATU8988S
PATU8988TKRASKOSG2248,PATU8988T; PATU8988S
PATU8988TKRASKOSG8853,PATU8988T; PATU8988S
PATU8988TKRASKOSG8864,PATU8988T; PATU8988S
PATU8988TKRASKOSG8875,PATU8988T; PATU8988S
PATU8988TKRASNTA,PATU8988T; PATU8988S
PATU8988TKRASNTD,PATU8988T; PATU8988S
PATU8988TKRASNTF,PATU8988T; PATU8988S
RPE1A4D,
HCT116ARID1AHOM,
HCT116ARID1AKOHD104049,
MED311,
OCIP5X,
OCIP9A1,OCIP9A2
PEDS019,
CCLFPEDS0018T,
NALM16,
CARNAVAL,
GRANTA452,
MEGAL,
MHHTALL2,
1794,
CCC5,
CX03,
ELF153,
ETCC016,
FKH1,
GFD8,
JIH5,
JVE015,
JVE017,
JVE059,
JVE109,
JVE114,
JVE127,
JVE187,
JVE192,
JVE207,
JVE222,
JVE253,
JVE367,
JVE371,
JVE528,
KASUMI3,
KP363T,
LAN1,
LAZ221,LAZ388
MAPACHS77,
MCC60,
MKPL1,
SH2,
TK6,
U2946,
WILL1,
WILL2,
170MGBA,
583MGBA,
BLN3,
WM3772F,WM3618F
PSS141,
PSS050,
PSS112,
ST8814,
908TL,
S462,
SNF962,
STS26T,
CCLFNEURO0029T,
CCLFNEURO0045T,
CCLFNEURO0038T,
CCLFNEURO0025T,
CCLFNEURO0047T,
CCLFNEURO0024T,
CCLFNEURO0033T,
OANC1,
TB471,
IS076P,
IS076A,
IMSM2,
DL221,
CMS,
MPNST724,
CCLFNEURO0039T,
CCLFNEURO0040T,
SNU1181,
SNU1406,
SNU1750,
UMHACC2A,
CCLFNEURO0054T,
CCLFNEURO0055T,
CCLFNEURO0056T,
MO91,
OSUDES76,
OSUDES91,
OSUDES168,
OSUDES236,
OSUDES13,
OSUDES23,
OSUDES157,
OSUDES186,
OSUDES9,
OSUDES93,
NCCCCS1X4C1,NCCCCS1BC1; NCCCCS1BX2C1
NCCCCS1BC1,NCCCCS1X4C1; NCCCCS1BX2C1
NCCCCS1BX2C1,NCCCCS1X4C1; NCCCCS1BC1
NCCCDS1X1C1,NCCCDS1X3C1
NCCCDS1X3C1,NCCCDS1X1C1
NCCDCS1C1,
NCCDFSP1C1,
NCCDFSP2C1,
NCCES1C1,
NCCLMS1C1,NCCLMS1X3C1
NCCLMS1X3C1,NCCLMS1C1
NCCMFS1C1,
NCCMPNST1C1,
NCCMPNST2C1,
NCCMPNST3C1,NCCMPNST3X2C1
NCCMPNST3X2C1,NCCMPNST3C1
NCCMPNST4C1,
NCCMPNST5C1,
NCCOS1X2C1,
NCCOS2C1,
NCCPRMS1C1,NCCPRMS1X4C1
NCCPRMS1X4C1,NCCPRMS1C1
NCCSS1C1,
NCCSS2C1,
NCCUPS1C1,NCCUPS1X3C1
NCCUPS1X3C1,NCCUPS1C1
NCCUPS2C1,
KURAMOCHIES1,KURAMOCHI; KURAMOCHIES2
KURAMOCHIES2,KURAMOCHI; KURAMOCHIES1
OVCAR4ES1,OVCAR4
